id,bc2,bc1,sample,did
NA18543,106,39,run2_1d2,062919
NA18544,101,39,run2_1d2,062919
NA18545,102,39,run2_1d2,062919
NA18546,103,39,run2_1d2,062919
NA18547,104,39,run2_1d2,062919
NA18548,97,40,run2_1d2,062919
NA18549,98,40,run2_1d2,062919
NA18550,105,40,run2_1d2,062919
NA18552,106,40,run2_1d2,062919
NA18553,101,40,run2_1d2,062919
NA18555,102,40,run2_1d2,062919
NA18557,103,40,run2_1d2,062919
NA18558,104,40,run2_1d2,062919
NA18559,97,41,run2_1d2,062919
NA18560,98,41,run2_1d2,062919
NA18560,105,59,run2_1d2,062919
NA18561,105,41,run2_1d2,062919
NA18562,106,41,run2_1d2,062919
NA18563,101,41,run2_1d2,062919
NA18564,102,41,run2_1d2,062919
NA18565,103,41,run2_1d2,062919
NA18566,104,41,run2_1d2,062919
NA18567,97,42,run2_1d2,062919
NA18569,98,42,run2_1d2,062919
NA18570,105,42,run2_1d2,062919
NA18571,106,42,run2_1d2,062919
NA18572,101,42,run2_1d2,062919
NA18572,102,59,run2_1d2,062919
NA18573,102,42,run2_1d2,062919
NA18574,103,42,run2_1d2,062919
NA18576,104,42,run2_1d2,062919
NA18577,97,43,run2_1d2,062919
NA18579,98,43,run2_1d2,062919
NA18579,103,59,run2_1d2,062919
NA18580,105,43,run2_1d2,062919
NA18582,106,43,run2_1d2,062919
NA18582,104,59,run2_1d2,062919
NA18591,101,43,run2_1d2,062919
NA18592,102,43,run2_1d2,062919
NA18593,103,43,run2_1d2,062919
NA18594,104,43,run2_1d2,062919
NA18595,97,44,run2_1d2,062919
NA18596,98,44,run2_1d2,062919
NA18597,105,44,run2_1d2,062919
NA18599,106,44,run2_1d2,062919
NA18602,101,44,run2_1d2,062919
NA18603,102,44,run2_1d2,062919
NA18605,103,44,run2_1d2,062919
NA18606,104,44,run2_1d2,062919
NA18608,97,45,run2_1d2,062919
NA18609,98,45,run2_1d2,062919
NA18609,97,60,run2_1d2,062919
NA18610,105,45,run2_1d2,062919
NA18611,106,45,run2_1d2,062919
NA18612,101,45,run2_1d2,062919
NA18612,105,60,run2_1d2,062919
NA18613,102,45,run2_1d2,062919
NA18614,103,45,run2_1d2,062919
NA18615,104,45,run2_1d2,062919
NA18616,97,46,run2_1d2,062919
NA18617,98,46,run2_1d2,062919
NA18618,105,46,run2_1d2,062919
NA18619,106,46,run2_1d2,062919
NA18620,101,46,run2_1d2,062919
NA18620,102,60,run2_1d2,062919
NA18621,102,46,run2_1d2,062919
NA18622,103,46,run2_1d2,062919
NA18623,104,46,run2_1d2,062919
NA18624,97,47,run2_1d2,062919
NA18625,98,47,run2_1d2,062919
NA18625,103,60,run2_1d2,062919
NA18626,105,47,run2_1d2,062919
NA18627,106,47,run2_1d2,062919
NA18628,101,47,run2_1d2,062919
NA18629,102,47,run2_1d2,062919
NA18630,103,47,run2_1d2,062919
NA18631,104,47,run2_1d2,062919
NA18632,97,48,run2_1d2,062919
NA18633,98,48,run2_1d2,062919
NA18634,105,48,run2_1d2,062919
NA18635,106,48,run2_1d2,062919
NA18635,104,60,run2_1d2,062919
NA18636,101,48,run2_1d2,062919
NA18636,97,61,run2_1d2,062919
NA18637,102,48,run2_1d2,062919
NA18638,103,48,run2_1d2,062919
NA18639,104,48,run2_1d2,062919
NA18640,97,49,run2_1d2,062919
NA18641,98,49,run2_1d2,062919
NA18641,105,61,run2_1d2,062919
NA18642,105,49,run2_1d2,062919
NA18643,106,49,run2_1d2,062919
NA18643,102,61,run2_1d2,062919
NA18645,101,49,run2_1d2,062919
NA18647,102,49,run2_1d2,062919
NA18648,103,49,run2_1d2,062919
NA18649,104,49,run2_1d2,062919
NA18739,97,50,run2_1d2,062919
NA18740,98,50,run2_1d2,062919
NA18740,103,61,run2_1d2,062919
NA18741,105,50,run2_1d2,062919
NA18742,106,50,run2_1d2,062919
NA18742,104,61,run2_1d2,062919
NA18745,101,50,run2_1d2,062919
NA18747,102,50,run2_1d2,062919
NA18748,103,50,run2_1d2,062919
NA18749,104,50,run2_1d2,062919
NA18757,97,51,run2_1d2,062919
NA18758,98,51,run2_1d2,062919
NA18769,105,51,run2_1d2,062919
NA18771,106,51,run2_1d2,062919
NA18785,101,51,run2_1d2,062919
NA18790,102,51,run2_1d2,062919
NA18791,103,51,run2_1d2,062919
NA18798,104,51,run2_1d2,062919
AA/428,105,45,run3_1d2,100319
AN/472,106,45,run3_1d2,100319
HG00171,97,46,run3_1d2,100319
HG00173,98,46,run3_1d2,100319
HG00174,105,46,run3_1d2,100319
HG00176,106,46,run3_1d2,100319
HG00177,101,46,run3_1d2,100319
HG00178,102,46,run3_1d2,100319
HG00179,103,46,run3_1d2,100319
HG00180,104,46,run3_1d2,100319
HG00181,97,47,run3_1d2,100319
HG00182,98,47,run3_1d2,100319
HG00183,105,47,run3_1d2,100319
HG00185,106,47,run3_1d2,100319
HG00186,101,47,run3_1d2,100319
HG00187,102,47,run3_1d2,100319
HG00188,103,47,run3_1d2,100319
HG00189,104,47,run3_1d2,100319
HG00190,97,48,run3_1d2,100319
HG00266,98,48,run3_1d2,100319
HG00267,105,48,run3_1d2,100319
HG00268,106,48,run3_1d2,100319
HG00269,101,48,run3_1d2,100319
HG00270,102,48,run3_1d2,100319
HG00271,103,48,run3_1d2,100319
HG00272,104,48,run3_1d2,100319
HG00273,97,49,run3_1d2,100319
HG00274,98,49,run3_1d2,100319
HG00275,105,49,run3_1d2,100319
HG00276,106,49,run3_1d2,100319
HG00277,101,49,run3_1d2,100319
HG00278,102,49,run3_1d2,100319
HG00280,103,49,run3_1d2,100319
HG00281,104,49,run3_1d2,100319
HG00282,97,50,run3_1d2,100319
HG00284,98,50,run3_1d2,100319
HG00285,105,50,run3_1d2,100319
HG00306,106,50,run3_1d2,100319
HG00308,101,50,run3_1d2,100319
HG00309,102,50,run3_1d2,100319
HG00310,103,50,run3_1d2,100319
HG00311,104,50,run3_1d2,100319
HG00312,97,51,run3_1d2,100319
HG00313,98,51,run3_1d2,100319
HG00315,105,51,run3_1d2,100319
HG00318,106,51,run3_1d2,100319
HG00319,101,51,run3_1d2,100319
HG00320,102,51,run3_1d2,100319
HG00321,103,51,run3_1d2,100319
HG00323,104,51,run3_1d2,100319
HG00324,97,52,run3_1d2,100319
HG00325,98,52,run3_1d2,100319
HG00326,105,52,run3_1d2,100319
HG00327,106,52,run3_1d2,100319
HG00328,101,52,run3_1d2,100319
HG00329,102,52,run3_1d2,100319
HG00330,103,52,run3_1d2,100319
HG00331,104,52,run3_1d2,100319
HG00332,97,53,run3_1d2,100319
HG00334,98,53,run3_1d2,100319
HG00335,105,53,run3_1d2,100319
HG00336,106,53,run3_1d2,100319
HG00337,101,53,run3_1d2,100319
HG00338,102,53,run3_1d2,100319
HG00339,103,53,run3_1d2,100319
HG00341,104,53,run3_1d2,100319
HG00342,97,54,run3_1d2,100319
HG00343,98,54,run3_1d2,100319
HG00344,105,54,run3_1d2,100319
HG00345,106,54,run3_1d2,100319
HG00346,101,54,run3_1d2,100319
HG00349,102,54,run3_1d2,100319
HG00350,103,54,run3_1d2,100319
HG00351,104,54,run3_1d2,100319
HG00353,97,55,run3_1d2,100319
HG00355,98,55,run3_1d2,100319
HG00356,105,55,run3_1d2,100319
HG00357,106,55,run3_1d2,100319
HG00358,101,55,run3_1d2,100319
HG00359,102,55,run3_1d2,100319
HG00360,103,55,run3_1d2,100319
HG00361,104,55,run3_1d2,100319
HG00362,97,56,run3_1d2,100319
HG00364,98,56,run3_1d2,100319
HG00365,105,56,run3_1d2,100319
HG00366,106,56,run3_1d2,100319
HG00367,101,56,run3_1d2,100319
HG00368,102,56,run3_1d2,100319
HG00369,103,56,run3_1d2,100319
HG00371,104,56,run3_1d2,100319
HG00372,97,57,run3_1d2,100319
HG00373,98,57,run3_1d2,100319
HG00375,105,57,run3_1d2,100319
HG00376,106,57,run3_1d2,100319
HG00377,101,57,run3_1d2,100319
HG00378,102,57,run3_1d2,100319
HG00379,103,57,run3_1d2,100319
HG00380,104,57,run3_1d2,100319
HG00381,97,58,run3_1d2,100319
HG00382,98,58,run3_1d2,100319
HG00383,105,58,run3_1d2,100319
HG00384,106,58,run3_1d2,100319
HG01565,97,59,run3_1d2,100319
